material_id,material_name,DAC_potential_score,quick_rationale,source_1,source_2,source_3
NIST-MATDB-df5a7d1b98bf856906a188166face5b4,Mg-MOF-74 (4),60,Open Mg sites give strong low-pressure CO2 binding; water strongly coadsorbs and can slow or degrade performance; regeneration is moderate but water adds energy; scale-up is possible yet shaping must manage pressure drop.,https://www.sciencedirect.com/science/article/pii/S2213343724003233,https://pubs.acs.org/doi/10.1021/la102359q,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002%2Fadfm.202307478
NIST-MATDB-775250b0154475da1a9521dd991a76d6,"MOF-74-Ni (Ni/DOBDC, CPO-27-Ni)",58,Open Ni sites provide high CO2 affinity and selectivity; water coadsorption is strong and can reduce working capacity; regeneration is moderate temperature; scalable synthesis exists but complete activation is critical.,https://pubs.acs.org/doi/10.1021/la102359q,https://yaghi.berkeley.edu/pdfPublications/10mof74.pdf,https://escholarship.org/content/qt4012t5bx/qt4012t5bx.pdf
NIST-MATDB-fab196b1a0e18f92cad8400a31fa5fdc,Al-rho-MOF (Al-rho-ZMOF),66,High cation charge density in rho-ZMOF can increase Henry-region CO2 affinity; ionic frameworks can be water robust but water loading can be high; regeneration can be modest if water is managed; scale-up and shaping are less mature.,https://repository.kaust.edu.sa/items/46ec492f-a47d-4437-91ee-fc70f21a3536,https://www.sciencedirect.com/science/article/abs/pii/S0009250914005673,https://pubs.rsc.org/en/content/articlehtml/2017/ra/c6ra24958b
NIST-MATDB-f4b549a56c1a5caf008c436b7d0aaaea,Mg2(dobdc),60,Open Mg sites give strong low-pressure CO2 binding; water strongly coadsorbs and can slow or degrade performance; regeneration is moderate but water adds energy; scale-up is possible yet shaping must manage pressure drop.,https://www.sciencedirect.com/science/article/pii/S2213343724003233,https://pubs.acs.org/doi/10.1021/la102359q,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002%2Fadfm.202307478
NIST-MATDB-f615a0462385c0cf6402e3408f388123,Mn-MOF-74,55,Open Mn sites give decent low-pressure CO2 uptake; humidity sensitivity and competitive water adsorption remain major; regeneration is moderate; synthesis and shaping are less industrialized than zeolites.,https://yaghi.berkeley.edu/pdfPublications/10mof74.pdf,https://pubs.acs.org/doi/10.1021/la102359q,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002%2Fadfm.202307478
NIST-MATDB-ab6368c177e0145be0ac2b5dad9a9204,Ca-rho-MOF,63,Cation-exchanged rho-ZMOF can show higher CO2 affinity than monovalent forms; water uptake is also expected to be strong; regeneration needs moisture control; ion exchange adds processing steps and shaping maturity is limited.,https://repository.kaust.edu.sa/items/46ec492f-a47d-4437-91ee-fc70f21a3536,https://www.sciencedirect.com/science/article/abs/pii/S0009250914005673,https://journals.sagepub.com/doi/pdf/10.1260/0263-6174.30.8-9.793
NIST-MATDB-8b2f5bfff597fd6ac1507365a3732a97,MOF-74-Co,55,Open Co sites can bind CO2 strongly at low pressure; water competes for sites and can impact stability; regeneration is moderate; scale-up exists in lab and pilot contexts but shaping adds complexity.,https://yaghi.berkeley.edu/pdfPublications/10mof74.pdf,https://pubs.acs.org/doi/10.1021/la102359q,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002%2Fadfm.202307478
NIST-MATDB-ef2e7a1950f7856f5ed1cb1446029559,Al-Rho-ZMOF,66,High cation charge density in rho-ZMOF can increase Henry-region CO2 affinity; ionic frameworks can be water robust but water loading can be high; regeneration can be modest if water is managed; scale-up and shaping are less mature.,https://repository.kaust.edu.sa/items/46ec492f-a47d-4437-91ee-fc70f21a3536,https://www.sciencedirect.com/science/article/abs/pii/S0009250914005673,https://pubs.rsc.org/en/content/articlehtml/2017/ra/c6ra24958b
NIST-MATDB-ffef9fe8f87486bc0a607d2de561618d,Mg-MOF-74 (3),60,Open Mg sites give strong low-pressure CO2 binding; water strongly coadsorbs and can slow or degrade performance; regeneration is moderate but water adds energy; scale-up is possible yet shaping must manage pressure drop.,https://www.sciencedirect.com/science/article/pii/S2213343724003233,https://pubs.acs.org/doi/10.1021/la102359q,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002%2Fadfm.202307478
NIST-MATDB-627250e1b90f307bafa15a3443ff8fa0,Fe-MOF-74,52,Open Fe sites can bind CO2 strongly but may be more reactive toward water; humidity stability and cycling are concerns; regeneration is moderate; practical shaping and activation control are required for scale.,https://yaghi.berkeley.edu/pdfPublications/10mof74.pdf,https://pubs.acs.org/doi/10.1021/la102359q,https://www.sciencedirect.com/science/article/pii/S2666952823000389
NIST-MATDB-4a1722bcb0f483f2834a69159a4706a0,Mg-Rho-ZMOF,64,Divalent Mg2+ exchange can boost CO2 Henry constant in rho-ZMOF; water uptake likely increases as well; regeneration requires moisture management; ion exchange and shaping add complexity.,https://repository.kaust.edu.sa/items/46ec492f-a47d-4437-91ee-fc70f21a3536,https://www.sciencedirect.com/science/article/abs/pii/S0009250914005673,https://pubs.rsc.org/en/content/articlehtml/2017/ra/c6ra24958b
NIST-MATDB-c8f4c078b4a081946d94943919a5aa6f,Sc3(BTC)2(OH)3,45,Extra hydroxide ligation is predicted to resist water coordination; experimental DAC-relevant CO2 data and scale-up are limited; regeneration should be easy; scandium cost makes large-scale deployment unlikely.,https://www.researchgate.net/publication/257710517_Simulations_of_model_metal-organic_frameworks_for_the_separation_of_carbon_dioxide/fulltext/0267a69c0cf2946d9a223910/Simulations-of-model-metal-organic_frameworks_for_the_separation_of_carbon-dioxide.pdf,https://pubs.acs.org/doi/10.1021/acs.iecr.4c03265,https://www.sciencedirect.com/science/article/pii/S2666952823000389
NIST-MATDB-71d6fc9e1d75f65e8a04544608290958,Zn-MOF-74,50,Lower CO2 binding strength than Mg or Ni analogs; still moisture sensitive due to open sites; regeneration is easier; industrial maturity is modest and pelletization is required.,https://yaghi.berkeley.edu/pdfPublications/10mof74.pdf,https://pubs.acs.org/doi/10.1021/la102359q,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002%2Fadfm.202307478
NIST-MATDB-ca704ca161b3d372d991227664ebd1c2,Li-Rho-ZMOF,62,High charge density Li+ can increase Henry-region CO2 affinity; water uptake can also rise and may dominate in humid air; regeneration needs moisture control; ion exchange adds processing complexity.,https://repository.kaust.edu.sa/items/46ec492f-a47d-4437-91ee-fc70f21a3536,https://www.sciencedirect.com/science/article/abs/pii/S0009250914005673,https://journals.sagepub.com/doi/pdf/10.1260/0263-6174.30.8-9.793
NIST-MATDB-d1596e5b352398521e21dbba3aa1139b,Zeo-5A@MOD-74-1,62,Core-shell zeolite@MOF combines robust shaped zeolite cores with high-affinity MOF shell; still water competitive but form factor is stronger than pure MOF powders; regeneration can use TSA or VSA; scalable forming is plausible.,https://pubs.acs.org/doi/abs/10.1021/acsami.8b10494,https://pubs.acs.org/doi/10.1021/la102359q,https://www.sciencedirect.com/science/article/pii/S2666086525000074
NIST-MATDB-8153e78fa83dd7aac27ea34942a5f24f,[MnIIMnIII(OH)Cl2(bbta)],74,Cooperative chemisorption yields very high CO2 affinity at trace concentrations; literature reports strong performance with water present; regeneration can be relatively low barrier; synthesis and shaping at scale remain developing.,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002%2Fadfm.202307478,https://www.repository.cam.ac.uk/bitstreams/8d7097d3-76ec-4af6-be00-0715ff228d35/download,https://pubs.acs.org/doi/10.1021/acs.iecr.4c03265
NIST-MATDB-ca773f0a99cd2aa2958f4b9cd3b131be,Na-rho-MOF,60,Cation-exchanged rho-ZMOF shows increased CO2 uptake and can be regenerated after removing cage water near 100 C; water loading can still dominate; scale-up needs robust pelletization protocols.,https://journals.sagepub.com/doi/pdf/10.1260/0263-6174.30.8-9.793,https://www.sciencedirect.com/science/article/abs/pii/S0009250914005673,https://pubs.rsc.org/en/content/articlehtml/2017/ra/c6ra24958b
NIST-MATDB-27eb8d9c588a3c4cceff7951475496b0,Ni-MOF-74 with residual MeOH,50,Residual solvent and solvent-derived defects can block open metal sites and cut low-pressure working capacity; water still competes strongly; regeneration is easier but performance drops; highlights activation sensitivity for scale.,https://escholarship.org/content/qt4012t5bx/qt4012t5bx.pdf,https://pubs.acs.org/doi/10.1021/la102359q,https://yaghi.berkeley.edu/pdfPublications/10mof74.pdf
NIST-MATDB-770ed56e7968554d6e542250173b9c4f,Sr-Rho-ZMOF,60,Divalent Sr2+ exchange can increase CO2 affinity in rho-ZMOF relative to monovalent forms; water uptake is also expected to be strong; regeneration needs moisture control; scale-up maturity is limited.,https://repository.kaust.edu.sa/items/46ec492f-a47d-4437-91ee-fc70f21a3536,https://www.sciencedirect.com/science/article/abs/pii/S0009250914005673,https://pubs.rsc.org/en/content/articlehtml/2017/ra/c6ra24958b
NIST-MATDB-67314f44f3ace018b3148412855365de,[CoIICoIII(OH)Cl2(bbta)],75,Cooperative chemisorption yields very high CO2 affinity at trace concentrations; reported to maintain strong capture in the presence of water; regeneration can be relatively low barrier; scale-up and shaping are the main unknowns.,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002%2Fadfm.202307478,https://www.repository.cam.ac.uk/bitstreams/8d7097d3-76ec-4af6-be00-0715ff228d35/download,https://pubs.acs.org/doi/10.1021/acs.iecr.4c03265
NIST-MATDB-68f2fa66694d3823a2626268a09ab5c5,Mg2(dobpdc),70,Well-established platform for amine-appended cooperative DAC with high 400 ppm uptake and good cycling; moisture tolerance depends on functionalization and process; regeneration is typically moderate temperature; monolith supports improve pressure drop and scale.,https://pubs.acs.org/doi/10.1021/ja300034j,https://pubs.acs.org/doi/10.1021/acsami.7b02035,https://pubs.acs.org/doi/10.1021/acs.iecr.4c03265
NIST-MATDB-9ab18a5aa1db0a6827d18e1707055261,"Ni-DOBDC (Ni2(dobdc), “Ni-MOF-74”)",58,Open Ni sites provide high CO2 affinity and selectivity; water coadsorption is strong and can reduce working capacity; regeneration is moderate temperature; scalable synthesis exists but complete activation is critical.,https://pubs.acs.org/doi/10.1021/la102359q,https://yaghi.berkeley.edu/pdfPublications/10mof74.pdf,https://escholarship.org/content/qt4012t5bx/qt4012t5bx.pdf
NIST-MATDB-121099da5c9e0772a6f7a19e407c83ab,Na-Rho-ZMOF,60,Cation-exchanged rho-ZMOF shows increased CO2 uptake and can be regenerated after removing cage water near 100 C; water loading can still dominate; scale-up needs robust pelletization protocols.,https://journals.sagepub.com/doi/pdf/10.1260/0263-6174.30.8-9.793,https://www.sciencedirect.com/science/article/abs/pii/S0009250914005673,https://pubs.rsc.org/en/content/articlehtml/2017/ra/c6ra24958b
NIST-MATDB-b80eb8fc1b6c3216445c9597ce593b01,Ni/DOBDC loaded with 1 mmol/g water,45,Preloading water illustrates strong competition at open metal sites and reduced CO2 capacity; regeneration energy increases due to desorbing water; practical humid-air operation would require drying or hydrophobic strategies to preserve working capacity.,https://pubs.acs.org/doi/10.1021/la102359q,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002%2Fadfm.202307478,https://www.sciencedirect.com/science/article/pii/S2213343724003233
NIST-MATDB-b848f05ba9fb26cdd50755863b377c56,MIL-47,54,Framework is relatively robust to moisture compared with many carboxylate MOFs; CO2 affinity at 400 ppm is moderate; regeneration should be easy; scalable synthesis is plausible but DAC-specific cycling and shaping data are limited.,https://www.sciencedirect.com/science/article/pii/S2666952823000389,https://www.sciencedirect.com/science/article/pii/S2772656823000490,https://pubs.acs.org/doi/10.1021/acs.iecr.4c03265
NIST-MATDB-dd648c6388274576eaa6f506d849b3f9,Cu-TDPAT,58,Microporous Cu MOF with high CO2 uptake and selectivity at ambient conditions; humidity tolerance is not fully established and copper nodes can be moisture sensitive; regeneration is moderate; synthesis complexity and shaping data are limited.,https://www.cambridge.org/core/journals/mrs-energy-and-sustainability/article/metalorganic-frameworks-for-carbon-dioxide-capture/C14F5731A65DF3A72B1F01D13B500094,https://pubs.acs.org/doi/10.1021/la102359q,https://pubs.acs.org/doi/10.1021/acs.iecr.4c03265
NIST-MATDB-c75fa8bf6bda7208c5b64e288fc6a81a,[Cu(dpa)2SiF6-i],77,Ultramicroporous fluorinated pillars give exceptional low-pressure CO2 uptake; humidity can quickly saturate sites and suppress CO2 unless managed; regeneration via mild TSA is feasible; scale-up depends on stability under cycling.,https://www.nature.com/articles/ncomms5228,https://pubs.rsc.org/en/content/articlelanding/2024/cp/d4cp00394b,https://www.sciencedirect.com/science/article/pii/S2772656825001034
NIST-MATDB-8ddcf6e1d9ec5a991e386424aee32de5,UiO-67/MCM-41 Hybrid,60,Zr-based UiO offers high moisture stability and the hybrid improves shaping and transport; intrinsic low-pressure CO2 affinity is moderate without strong chemisorption sites; regeneration is easy; practical form factor supports scale-up.,https://www.sciencedirect.com/science/article/abs/pii/S1383586613001895,https://www.sciencedirect.com/science/article/pii/S2666952823000389,https://pubs.acs.org/doi/10.1021/acs.iecr.4c03265
NIST-MATDB-c2107d08c538b2b6477e7acb5ace3f5f,Graphite Oxide/Urea Cu-BTC 3,55,Aminated GO composites can increase CO2 uptake and may improve moisture resistance versus pristine Cu-BTC; still limited by copper-node water chemistry; regeneration is moderate; composite processing aids shaping.,https://pubs.acs.org/doi/abs/10.1021/am4006989,https://www.sciencedirect.com/science/article/abs/pii/S1385894713015088,https://rua.ua.es/bitstream/10045/150003/1/Loera-Serna_etal_2025_Adsorption.pdf
NIST-MATDB-fd7ade7b33c3327069abc402f4d18439,Rho-ZMOF,60,Rho-topology ZMOFs show decent CO2 uptake and can be tuned via ion exchange; humid air can fill cages with water and reduce CO2 capacity; regeneration can be modest if water is removed; scale-up remains early.,https://www.sciencedirect.com/science/article/abs/pii/S0009250914005673,https://journals.sagepub.com/doi/pdf/10.1260/0263-6174.30.8-9.793,https://pubs.rsc.org/en/content/articlehtml/2017/ra/c6ra24958b
NIST-MATDB-489cc883af49bb4823b68b3c2924d462,K-rho-MOF,58,K+ exchange can tune CO2 uptake and selectivity in rho-ZMOF; water uptake can still dominate in humid conditions; regeneration needs moisture control; ion exchange and shaping maturity limit deployment.,https://www.sciencedirect.com/science/article/abs/pii/S0009250914005673,https://journals.sagepub.com/doi/pdf/10.1260/0263-6174.30.8-9.793,https://repository.kaust.edu.sa/items/46ec492f-a47d-4437-91ee-fc70f21a3536
NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f,Zeolite 13X,60,Very strong low-pressure CO2 adsorption and commercially scalable pellets; water strongly competes and raises regeneration energy in humid air; regenerable by TSA or VSA; best with upstream drying or structured contactors.,https://pubs.acs.org/doi/10.1021/la102359q,https://www.sciencedirect.com/science/article/pii/S2666016423002694,https://www.sciencedirect.com/science/article/pii/S2666086525000074
NIST-MATDB-7afa6cd2b9010a5fee66c761d34f79ff,Cu-MOF,55,Copper-carboxylate MOFs can have good CO2 uptake but are often moisture sensitive; some show reversible water-driven structural changes; regeneration can be moderate; practical scale depends heavily on humid stability and shaping.,https://www.cambridge.org/core/journals/mrs-energy-and-sustainability/article/metalorganic-frameworks-for-carbon-dioxide-capture/C14F5731A65DF3A72B1F01D13B500094,https://www.sciencedirect.com/science/article/pii/S2666952823000389,https://pubs.acs.org/doi/10.1021/acs.iecr.4c03265
NIST-MATDB-f1e4e55912fe38a58d727509602f3c8d,Mn-MOF-74 with residual MeOH,48,Residual solvent and defects can block open metal sites and reduce low-pressure CO2 working capacity; water still competes strongly; regeneration is easier but usable capacity drops; activation control is a key scale-up issue.,https://escholarship.org/content/qt4012t5bx/qt4012t5bx.pdf,https://yaghi.berkeley.edu/pdfPublications/10mof74.pdf,https://pubs.acs.org/doi/10.1021/la102359q
NIST-MATDB-68a48f466949d3c6ea7faa50d7d5823c,Sc3(Me-BTC)2(OH)3,45,Predicted to resist water coordination due to hydroxide balance but experimental adsorption data are scarce; scandium cost is prohibitive; regeneration should be easy; scale-up is unlikely.,https://www.researchgate.net/publication/257710517_Simulations_of_model_metal-organic_frameworks_for_the_separation_of_carbon_dioxide/fulltext/0267a69c0cf2946d9a223910/Simulations-of-model-metal-organic_frameworks_for_the_separation_of_carbon-dioxide.pdf,https://www.sciencedirect.com/science/article/pii/S2666952823000389,https://pubs.acs.org/doi/10.1021/acs.iecr.4c03265
NIST-MATDB-462f95bac55fbe1c145f8b9d558d29f0,13X zeolite (Si/Al = 1.4),61,High CO2 affinity and established pellet scale; slightly higher Si Al can reduce hydrophilicity but water still competes strongly; regenerable by TSA or VSA; humid-air DAC usually needs drying or staged contactors.,https://pubs.acs.org/doi/10.1021/la102359q,https://www.sciencedirect.com/science/article/pii/S2666016423002694,https://www.sciencedirect.com/science/article/pii/S2666086525000074
NIST-MATDB-04952328cf3644b315eaf3f178d01e30,opt-UiO-66(Zr)-(OH)2,62,UiO-66 family is among the most moisture stable MOFs; hydroxyl functionality can raise CO2 affinity and enable water-influenced uptake; regeneration is easy; pellets and composites are well studied for scale.,https://pubs.acs.org/doi/10.1021/jacs.5b00365,https://pmc.ncbi.nlm.nih.gov/articles/PMC12279785/,https://pubs.acs.org/doi/10.1021/acs.iecr.4c03265
NIST-MATDB-6e957f954c53fdb58089b9c1c783bb4c,Na-X,59,Strong low-pressure CO2 adsorption and mature industrial forming; water competes strongly and increases regeneration energy; regenerable by TSA or VSA; best performance in DAC requires moisture management.,https://pubs.acs.org/doi/10.1021/la102359q,https://www.sciencedirect.com/science/article/pii/S2666016423002694,https://www.sciencedirect.com/science/article/pii/S2666086525000074
NIST-MATDB-4789081e729492b9825f2f6297e57ce1,GO-TAc/MOF-60,56,Graphene oxide supported MOF composites can improve kinetics and handling versus neat powders; CO2 capacity gains depend on composite quality; humidity tolerance is still limited by MOF chemistry; regeneration is moderate and shaping is feasible.,https://www.sciencedirect.com/science/article/abs/pii/S1387181114004375,https://www.sciencedirect.com/science/article/pii/S2772656825000260,https://www.sciencedirect.com/science/article/pii/S2213343723000301
NIST-MATDB-1b5c20248717ca46ef341e3c5f2c1f30,NH2-MIL-53(Al),60,"Water-stable Al framework, but amine increases water uptake and can suppress CO2 at realistic humidity; scalable pelletization is plausible.",https://pubs.rsc.org/en/content/articlelanding/2016/ra/c5ra26517g,https://pubs.acs.org/doi/10.1021/acs.inorgchem.5c02921,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/639b4458a2da4bcbc604f9ac/original/process-informed-adsorbent-design-guidelines-for-direct-air-capture.pdf
NIST-MATDB-f06e933322c665e549c5b147b05d013f,Rb-rho-MOF,58,"Cation-exchanged ionic framework can strengthen low-pressure CO2 affinity, but humidity competition and scale/shaping remain less demonstrated than zeolites.",https://pubs.acs.org/doi/abs/10.1021/la205152f,https://pubs.acs.org/doi/10.1021/la100509g,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/639b4458a2da4bcbc604f9ac/original/process-informed-adsorbent-design-guidelines-for-direct-air-capture.pdf
NIST-MATDB-e12ae22651c677bdadcc98e5020a0a96,Zeolite NaX@NaA core-shell,65,"Industrial zeolite form factor and fast kinetics; core–shell can aid shaping and diffusion control, but strong water co-adsorption limits humid-air performance.",https://www.sciencedirect.com/science/article/pii/S0926860X17305290,https://scijournals.onlinelibrary.wiley.com/doi/10.1002/ghg.2112,https://www.nature.com/articles/s44296-024-00023-x
NIST-MATDB-2d9160505b3f649ff3c6a4c594f5fec1,Ni-MOF-74 (2),57,"Open Ni sites give strong low-pressure CO2 binding, yet water readily competes for those sites; shaping is feasible but long humid cycling is a risk.",https://arxiv.org/abs/1503.04721,https://arxiv.org/abs/1306.1873,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adfm.202307478
NIST-MATDB-d0f9420c19ce3e113d445002d33f7177,rht-MOF-9,45,"High-porosity ionic framework can show CO2 selectivity, but evidence for low-ppm capture and humid durability is limited and shaping/scale is uncertain.",https://pubs.acs.org/doi/abs/10.1021/la100509g,https://dspace.mit.edu/bitstream/handle/1721.1/128201/s41578-019-0140-1.pdf?isAllowed=y&sequence=2,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/639b4458a2da4bcbc604f9ac/original/process-informed-adsorbent-design-guidelines-for-direct-air-capture.pdf
NIST-MATDB-7c948c8ae433a114af89b441d164e445,Zeolite KX@KA core-shell,64,"Commercially relevant zeolite family with strong CO2 uptake at low pressure; core–shell structures help processing, but humid air still penalizes capacity.",https://www.sciencedirect.com/science/article/abs/pii/S0926860X17308077,https://scijournals.onlinelibrary.wiley.com/doi/10.1002/ghg.2112,https://www.nature.com/articles/s44296-024-00023-x
NIST-MATDB-50af984898e0292f0da158135dffa953,Zn2(NDC)2(DPNI),48,Moderate CO2 uptake typical of physisorbing Zn MOFs; humidity tolerance and structured contactor readiness are not well established for DAC duty.,https://pubs.rsc.org/en/content/articlelanding/2013/dt/c3dt51118a,https://pubmed.ncbi.nlm.nih.gov/18616225/,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/639b4458a2da4bcbc604f9ac/original/process-informed-adsorbent-design-guidelines-for-direct-air-capture.pdf
NIST-MATDB-6f2f516bdc4e7127699c4a30bedfe0c3,CPO-27-Mg-a,60,"Strong low-pressure CO2 adsorption from open Mg sites, but water strongly competes and can degrade performance in humid air; regeneration is easy if kept dry.",https://arxiv.org/abs/1503.04721,https://arxiv.org/abs/1306.1873,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adfm.202307478
NIST-MATDB-37bc50708bad4aa525a0883c7c7a4646,C33H15Cu3N3O18,50,"Cu–carboxylate framework reported for selective gas adsorption, but Cu nodes are typically moisture sensitive and low-ppm performance/shaping data are sparse.",https://pubs.rsc.org/en/content/articlelanding/2019/qi/c8qi01225c,https://www.rsc.org/suppdata/c8/qi/c8qi01225c/c8qi01225c1.pdf,https://dspace.mit.edu/bitstream/handle/1721.1/128201/s41578-019-0140-1.pdf?isAllowed=y&sequence=2
NIST-MATDB-2f391b46b4e3f7747db4ad7bba0ccbfd,MCM-41,22,Mesoporous silica has weak intrinsic CO2 affinity at ppm; it becomes relevant mainly as a support for grafted/impregnated amines rather than as-is.,https://pubmed.ncbi.nlm.nih.gov/25742049/,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/639b4458a2da4bcbc604f9ac/original/process-informed-adsorbent-design-guidelines-for-direct-air-capture.pdf,https://pubs.acs.org/doi/10.1021/acs.jpclett.3c02711
NIST-MATDB-4a3e426f65c8cac0c7a4847b2844263f,C16H10CuN4O4,40,"Cu coordination framework with limited public data for humid, low-ppm CO2 capture; likely needs functionalization or composite shaping to be competitive.",https://www.rsc.org/suppdata/d2/dt/d2dt03080d/d2dt03080d1.pdf,https://dspace.mit.edu/bitstream/handle/1721.1/128201/s41578-019-0140-1.pdf?isAllowed=y&sequence=2,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/639b4458a2da4bcbc604f9ac/original/process-informed-adsorbent-design-guidelines-for-direct-air-capture.pdf
NIST-MATDB-2aa8d4f74fd675840a384be24f21ee20,[MnII2Cl2(bbta)],67,"Triazolate framework family can provide strong CO2 interactions; however, humid-air performance is typically better in hydroxide-modified analogs than in chloride forms.",https://www.rsc.org/suppdata/ee/c4/c4ee02717e/c4ee02717e1.pdf,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adfm.202307478,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/639b4458a2da4bcbc604f9ac/original/process-informed-adsorbent-design-guidelines-for-direct-air-capture.pdf
