material_id,material_name,family_id,family_name,recat_basis,family,subtype,confidence,notes
NIST-MATDB-078a12b17a121e5311cf9f4f424c0be2,MAXSORB,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,,high,carbon keyword / activated carbon code
NIST-MATDB-379eabf2c0360c5c1d4a172186cf72a9,WV1050,2,Porous carbons,carbon grade/sample/code (activated carbon/CMS/carbon composite),Carbon-based,,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-f72c4dbce08e447c54547b14a774d161,rGA,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,,high,carbon keyword / activated carbon code
NIST-MATDB-b2cbe7a27aa1570f2ff2c04b82289f25,Activated Carbon,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Activated carbon,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-030505f3b58a060efffaa5e33cec1cb6,Activated Carbon-600-0.5,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Activated carbon,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-35b5d7b199752e1f0822f54d5b0b7248,Activated Carbon-700-0.5,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Activated carbon,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-b0d212f8bf732b6dcb8ce42d4d75e9e2,Activated Carbon-700-1,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Activated carbon,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-7754bbaf35839cdf229f1b0236a7060c,Activated Carbon-750-0.5,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Activated carbon,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-855f75ff9247c36f0a92c30040608729,Activated Carbon-800-0.5,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Activated carbon,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-55ef2bf83720982f8d98ce6a6b8da4b0,Activated Carbon-800-1,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Activated carbon,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-c9ba59f6a272e1962a4cde8e340936c9,Activated carbon: AP 3-60,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Activated carbon,high,carbon keyword / activated carbon code
NIST-MATDB-0fe911ddcc70c36f6838a5c6cc45abc0,Activated carbon: WV1050,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Activated carbon,high,carbon keyword / activated carbon code
NIST-MATDB-129dcbd246c17a62512de56476f23466,Granular Activated Carbon,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Activated carbon,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-0ec2e0be23c6860823b24103ecbda9b4,MNS-Activated Carbon A,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Activated carbon,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-0fd375ae798b40caf783517aa212076e,MNS-Activated Carbon B,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Activated carbon,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-75d324fa468d5bc9ddef4ffd7f5a09a0,Phenol-Formaldehyde Resin-based Activated Carbon,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Activated carbon,high,bracketed complex or formula; carbon keyword / activated carbon code; contains polymer keyword
NIST-MATDB-1201974f149c6afd96c47007dd9f0916,AC AP3-60,2,Porous carbons,carbon grade/sample/code (activated carbon/CMS/carbon composite),Carbon-based,Activated carbon (AP 3-60),medium,Appears to be activated carbon grade AP 3-60
NIST-MATDB-06d5bf2275007ca8b3dd60a2d978e558,AC1,2,Porous carbons,carbon grade/sample/code (activated carbon/CMS/carbon composite),Carbon-based,Activated carbon (sample code),low,Sample code; likely activated carbon
NIST-MATDB-6bc3eef723f38424d37d245db8999d89,AC2,2,Porous carbons,carbon grade/sample/code (activated carbon/CMS/carbon composite),Carbon-based,Activated carbon (sample code),low,Sample code; likely activated carbon
NIST-MATDB-d82b490458537f4291732b24cfe1b1b1,AC3,2,Porous carbons,carbon grade/sample/code (activated carbon/CMS/carbon composite),Carbon-based,Activated carbon (sample code),low,Sample code; likely activated carbon
NIST-MATDB-dac286b421d9802cce70bce54f1665f3,Cellular Carbon Foam,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Carbon foam,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-6ac545324cf900e2dfc61730ac3a27e3,Cellular Carbon Foam (cycle 1),2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Carbon foam,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-88e4700c801203c138d1dcb84a5104db,Cellular Carbon Foam (cycle 2),2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Carbon foam,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-215458cc682e01dc33ee7dc0f6f34fa9,Cellular Carbon Foam (cycle 3),2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Carbon foam,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-38def46e79a5800c0d8b4398da2534d3,Cellular Carbon Foam (cycle 4),2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Carbon foam,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-7d9e13a35e0b3aaa0b2e79eb9f54a0ed,Cellular Carbon Foam (cycle 5),2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Carbon foam,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-2fcdf74291f5d63f2b96865989964419,F1N9-CMS,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Carbon molecular sieve (CMS),high,carbon keyword / activated carbon code
NIST-MATDB-3c0a19757f4b5533a1a13aa9cada412b,F3N7-CMS,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Carbon molecular sieve (CMS),high,carbon keyword / activated carbon code
NIST-MATDB-b1ab448812196bf34ac7a261deb6c5e1,F5N5-CMS,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Carbon molecular sieve (CMS),high,carbon keyword / activated carbon code
NIST-MATDB-cc15b19aecef0f5eb57c817ea2ee98be,Raw-CMS,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Carbon molecular sieve (CMS),high,carbon keyword / activated carbon code
NIST-MATDB-d73cc8925566fb1c49f65878eb8478d6,VR-5,2,Porous carbons,carbon grade/sample/code (activated carbon/CMS/carbon composite),Carbon-based,Carbon molecular sieve (CMS),high,"Reported as carbon material (pitch-derived), used for CO2 adsorption"
NIST-MATDB-51a7184a28579f2e3fa6afe5f57affdd,VR-93,2,Porous carbons,carbon grade/sample/code (activated carbon/CMS/carbon composite),Carbon-based,Carbon molecular sieve (CMS),high,Reported as carbon molecular sieve / microporous carbon (pitch-derived)
NIST-MATDB-2bb71cdd34b285f8b89a7e1ba3aa16eb,Carbon Nitride Aerogel,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Carbon nitride,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-dcec9a003b64af110c352242de119c8d,C141,2,Porous carbons,carbon grade/sample/code (activated carbon/CMS/carbon composite),Carbon-based,Carbon sample/model code,low,Looks like a carbon sample code (C###) within carbon model list
NIST-MATDB-cdeef24095fee7d62f90f26b51092389,Dry Coal,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Coal,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-3c2b1cfbe995894658cb85d5d6e46a04,Walbrzych Mine Coal,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Coal,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-1cb63b39788a61715240f3704fb45e2a,Wyodak Coal,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Coal,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-2be3f76e89de64f04afef89ff9675060,Nanoporous Carbon Model C150,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Nanoporous carbon model,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-4b6b8d075137440a74b43145829416ff,Nanoporous Carbon Model C24,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Nanoporous carbon model,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-7032b455c28a70ff55755d0dd9e17c8f,Nanoporous Carbon Model C54,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Nanoporous carbon model,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-722edd8fe1a3a9be081c053f62f9607c,Nanoporous Carbon Model C96,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Nanoporous carbon model,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-fc0098d481072dc7fe06b5281148da59,Ordered Mesoporous Carbon: aC,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Ordered mesoporous carbon,high,carbon keyword / activated carbon code
NIST-MATDB-72c3e27c3b3dee9aa06a50437b2da8ff,Ordered Mesoporous Carbon: aC-AO1,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Ordered mesoporous carbon,high,carbon keyword / activated carbon code
NIST-MATDB-92d470719e00a842ee9c1b8db8bfc079,Ordered Mesoporous Carbon: aC-AO2,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Ordered mesoporous carbon,high,carbon keyword / activated carbon code
NIST-MATDB-bb6cb41e4b559478a287bbb6a91cb807,Ordered Mesoporous Carbon: oaC,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Ordered mesoporous carbon,high,carbon keyword / activated carbon code
NIST-MATDB-3fa4ab4db8f94cefd223e379624256cb,Ordered Mesoporous Carbon: oaC-AO1,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Ordered mesoporous carbon,high,carbon keyword / activated carbon code
NIST-MATDB-ae74433382b1ff4b3c2c2c8ca33bd1a4,Ordered Mesoporous Carbon: oaC-AO2,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,Ordered mesoporous carbon,high,carbon keyword / activated carbon code
NIST-MATDB-2f3a55964b6f7f219ac339338233f6c8,50CPDA@A-C,2,Porous carbons,carbon grade/sample/code (activated carbon/CMS/carbon composite),Composite / functionalized,,low,
NIST-MATDB-0c65da5e54b83b91226fe966a25a906b,TBA-Activated at 120C,2,Porous carbons,carbon grade/sample/code (activated carbon/CMS/carbon composite),Composite / functionalized,,low,
NIST-MATDB-4f24d98f45fc45b467383b00c78edca9,TBA-Activated at 180C,2,Porous carbons,carbon grade/sample/code (activated carbon/CMS/carbon composite),Composite / functionalized,,low,
NIST-MATDB-7d6cf6c14c82429de060c9a994c77c78,TPA-Activated at 180C,2,Porous carbons,carbon grade/sample/code (activated carbon/CMS/carbon composite),Composite / functionalized,,low,
NIST-MATDB-a25480e008636632735f8d51e9cdd4a5,TPA-Activated at 90C,2,Porous carbons,carbon grade/sample/code (activated carbon/CMS/carbon composite),Composite / functionalized,,low,
NIST-MATDB-905c38b797b80f8e78474acc09b087cc,Ti/GO,3,Porous oxides,oxide composite (TiO2/GO style),Composite / functionalized,,low,
NIST-MATDB-627acabd9ca950805c21a3eeb5a77106,Cu3(btc)2/GO-h,4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),Graphene oxide / graphite oxide,medium,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-afacf62fdda4920fa0794819ac8513c2,Cu3(btc)2/GO-l,4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),Graphene oxide / graphite oxide,medium,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-71a59952aa083f1cf399552468dc1d84,Cu3(btc)2/GO-m,4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),Graphene oxide / graphite oxide,medium,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-70cde38722375e588739b00cbc6d22a1,GO-BBF4/MOF-60,4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),Graphene oxide / graphite oxide,high,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-ab632391eb61eebe9fe44365d161f8d2,GO-TAC/MOF-30,4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),Graphene oxide / graphite oxide,high,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-4789081e729492b9825f2f6297e57ce1,GO-TAc/MOF-60,4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),Graphene oxide / graphite oxide,high,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-f4e225593e4d47aff7dfa5325d0aea8a,GO-TAc/MOF-90,4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),Graphene oxide / graphite oxide,high,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-97a87c99ba676149377010367f60b9d6,GO-TBF4/MOF-60,4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),Graphene oxide / graphite oxide,high,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-c2107d08c538b2b6477e7acb5ace3f5f,Graphite Oxide/Urea Cu-BTC 3,4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),Graphene oxide / graphite oxide,high,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-1ff6de109bbbb406886f1a8bdf86bedb,Graphite Oxide/Urea Cu-BTC 3 (1st cycle),4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),Graphene oxide / graphite oxide,high,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-345d951effaf38422763255b4393495c,Graphite Oxide/Urea Cu-BTC 3 (2nd cycle),4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),Graphene oxide / graphite oxide,high,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-4e6683fdc523f816cb59f9bec207da40,Graphite Oxide/Urea Cu-BTC 3 (3rd cycle),4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),Graphene oxide / graphite oxide,high,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-d034be362e7e4dbe8326044ed97ada85,Graphite Oxide/Urea Cu-BTC 3 (4th cycle),4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),Graphene oxide / graphite oxide,high,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-9fbfb4dd5092b4f1c30591f24407453b,IRMOF-1/AGO-O,4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),Graphene oxide / graphite oxide,high,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-804f83e527303ee4d8d77926b402667c,IRMOF-1/GO-H,4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),Graphene oxide / graphite oxide,high,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-932f3da4459260cdbd6908d9b3fefa1f,UiO-66/GO-1,4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),Graphene oxide / graphite oxide,high,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-c545044aea679921ec5ca79ada2ca7da,UiO-66/GO-10,4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),Graphene oxide / graphite oxide,high,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-37e11b87b884c19a9b7d375d3f2826a7,UiO-66/GO-5,4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),Graphene oxide / graphite oxide,high,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-416c6a5472c887712eda9008c47df1d5,CNT@CuBTC,4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),HKUST-1 / Cu-BTC family,high,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-f37e05aad6606214d6c7734127759bc7,CNF@MIL-53,4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),MIL (Materials of Institute Lavoisier),high,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-f1eb81762aca7b95245a91b00ea9df59,MWCNT@MIL-101,4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),MIL (Materials of Institute Lavoisier),high,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-34cdadfd470808e2b8b1a01473ae0c6f,MWCNTs@MIL-53,4,MOFs,MOF/coordination marker or prior family,Composite / functionalized (MOF / coordination framework + Carbon-based),MIL (Materials of Institute Lavoisier),high,MOF keyword/series name; carbon keyword / activated carbon code
NIST-MATDB-09ac90a8a315f45e3936b309f93684b1,UiO-67/MCM-41,3,Porous oxides,oxide/silica support marker or prior family,Composite / functionalized (MOF / coordination framework + Mesoporous silica / silica),MCM-41,high,MOF keyword/series name; contains mesoporous silica keyword
NIST-MATDB-8ddcf6e1d9ec5a991e386424aee32de5,UiO-67/MCM-41 Hybrid,3,Porous oxides,oxide/silica support marker or prior family,Composite / functionalized (MOF / coordination framework + Mesoporous silica / silica),MCM-41,high,MOF keyword/series name; contains mesoporous silica keyword
NIST-MATDB-be7bf31fcbc865d5d6382963a4f8faf7,20wt%Mg2(dobdc)/PDMS,6,Porous polymers,polymer/HOF/SOF marker or prior family,Composite / functionalized (MOF / coordination framework + Polymer / porous polymer),PDMS,high,MOF keyword/series name; contains polymer keyword
NIST-MATDB-5c4a98c0098ff18518471350e2e6a35d,100% ZIF-8 In PVP,6,Porous polymers,polymer/HOF/SOF marker or prior family,Composite / functionalized (MOF / coordination framework + Polymer / porous polymer),PVP,high,MOF keyword/series name; contains polymer keyword
NIST-MATDB-a7eb726c15039ac2b9869355f342539c,10wt%Mg2(dobdc)/Polyimide,6,Porous polymers,polymer/HOF/SOF marker or prior family,Composite / functionalized (MOF / coordination framework + Polymer / porous polymer),Polyimide,high,MOF keyword/series name; contains polymer keyword
NIST-MATDB-d4280c676f049998cbd6013519ecd990,UTSA-16 WITH pva 0.0%,6,Porous polymers,polymer/HOF/SOF marker or prior family,Composite / functionalized (MOF / coordination framework + Polymer / porous polymer),UTSA series,medium,MOF keyword/series name; contains polymer keyword
NIST-MATDB-7526b25f2c188c709d0fca7e8ce5843a,UTSA-16 WITH pva 2.0%,6,Porous polymers,polymer/HOF/SOF marker or prior family,Composite / functionalized (MOF / coordination framework + Polymer / porous polymer),UTSA series,medium,MOF keyword/series name; contains polymer keyword
NIST-MATDB-f05359f0aaca24cfd5c9126a1ce4f0c0,UTSA-16 WITH pva 3.3%,6,Porous polymers,polymer/HOF/SOF marker or prior family,Composite / functionalized (MOF / coordination framework + Polymer / porous polymer),UTSA series,medium,MOF keyword/series name; contains polymer keyword
NIST-MATDB-5292de867ae4036ea47cf01678a6caa9,UTSA-16 WITH pva 4.6%,6,Porous polymers,polymer/HOF/SOF marker or prior family,Composite / functionalized (MOF / coordination framework + Polymer / porous polymer),UTSA series,medium,MOF keyword/series name; contains polymer keyword
NIST-MATDB-09622aa5d08dccc366f5767dc37ee542,UTSA-16 WITH pva 6.7%,6,Porous polymers,polymer/HOF/SOF marker or prior family,Composite / functionalized (MOF / coordination framework + Polymer / porous polymer),UTSA series,medium,MOF keyword/series name; contains polymer keyword
NIST-MATDB-215fbc93f658f8888a4e618b5d994f93,UTSA-16 WITH pva powder,6,Porous polymers,polymer/HOF/SOF marker or prior family,Composite / functionalized (MOF / coordination framework + Polymer / porous polymer),UTSA series,medium,MOF keyword/series name; contains polymer keyword
NIST-MATDB-44b465d6566d8408a502e7592d6491d0,10wt%Mg2(dobdc)/XLPEO,6,Porous polymers,polymer/HOF/SOF marker or prior family,Composite / functionalized (MOF / coordination framework + Polymer / porous polymer),XLPEO,high,MOF keyword/series name; contains polymer keyword
NIST-MATDB-c43967615dadfea9cb14dade4ad44840,PAN-AC,6,Porous polymers,polymer/HOF/SOF marker or prior family,Composite / functionalized (Polymer + Carbon-based),PAN/activated carbon composite,medium,Polyacrylonitrile + activated carbon composite (PAN/AC)
NIST-MATDB-224db38a05d106fe89ac3ed2852c23ae,C48H55N4O19Zn3@FCNF,2,Porous carbons,carbon marker (non-MOF composite),Functionalized / composite Carbon-based,,high,carbon keyword / activated carbon code
NIST-MATDB-1538ced0351ec075d6649d4621db33e1,Activated carbon: D47/3,2,Porous carbons,carbon marker (non-MOF composite),Functionalized / composite Carbon-based,Activated carbon,high,carbon keyword / activated carbon code
NIST-MATDB-5f8cd82604f806f04627d160afc34d21,Cellular Carbon Foam (1% Aluminum Nitrate),2,Porous carbons,carbon marker (non-MOF composite),Functionalized / composite Carbon-based,Carbon foam,high,carbon keyword / activated carbon code
NIST-MATDB-42347fb9e967f03b36e03b63f3a7061c,Cellular Carbon Foam (2% Aluminum Nitrate),2,Porous carbons,carbon marker (non-MOF composite),Functionalized / composite Carbon-based,Carbon foam,high,carbon keyword / activated carbon code
NIST-MATDB-6039931d40724990379639f8625a6917,Cellular Carbon Foam (3% Aluminum Nitrate),2,Porous carbons,carbon marker (non-MOF composite),Functionalized / composite Carbon-based,Carbon foam,high,carbon keyword / activated carbon code
NIST-MATDB-827e506be8c491d544d8b0190acba150,Cellular Carbon Foam (4% Aluminum Nitrate),2,Porous carbons,carbon marker (non-MOF composite),Functionalized / composite Carbon-based,Carbon foam,high,carbon keyword / activated carbon code
NIST-MATDB-35ad83fd3c439ee675e923f32df5d2cf,Cellular Carbon Foam (5% Aluminum Nitrate),2,Porous carbons,carbon marker (non-MOF composite),Functionalized / composite Carbon-based,Carbon foam,high,carbon keyword / activated carbon code
NIST-MATDB-74a41ba99c5a226cbde0bc0393f310db,dmen-Mg2(dopdc),7,Solid amines,marker (PEI/TEPA/TRI-PE/mmen/dmen/amine modified),Functionalized / composite MOF / coordination framework,Amine-appended Mg2(dopdc) (MOF-74 analog),high,Amine-appended Mg2(dopdc)/Mg2(dobpdc)-type
NIST-MATDB-bf63b8b2ef2646e6fbaa2ed1746485c9,Cu-BTC-PF6-10%,4,MOFs,MOF/coordination marker or prior family,Functionalized / composite MOF / coordination framework,HKUST-1 / Cu-BTC family,high,MOF keyword/series name
NIST-MATDB-f53201e44deea41590ec147562de3a4a,Cu-BTC-Tf2N-5%,4,MOFs,MOF/coordination marker or prior family,Functionalized / composite MOF / coordination framework,HKUST-1 / Cu-BTC family,high,MOF keyword/series name
NIST-MATDB-0de383d5fc5eda62c8a23f3416d54e15,HKUST-1 loaded with 10mmol/g water,4,MOFs,MOF/coordination marker or prior family,Functionalized / composite MOF / coordination framework,HKUST-1 / Cu-BTC family,high,MOF keyword/series name
NIST-MATDB-3102f325379e4bf731fa80121719fc03,HKUST-1 loaded with 16.2mmol/g water,4,MOFs,MOF/coordination marker or prior family,Functionalized / composite MOF / coordination framework,HKUST-1 / Cu-BTC family,high,MOF keyword/series name
NIST-MATDB-852fae7fb74ed3889ef8a44656afcc1f,HKUST-1 loaded with 25.4mmol/g water,4,MOFs,MOF/coordination marker or prior family,Functionalized / composite MOF / coordination framework,HKUST-1 / Cu-BTC family,high,MOF keyword/series name
NIST-MATDB-d92900e70328665628a7d8df3abb7c94,[BMIM][SCN]/IRMOF-1,4,MOFs,MOF/coordination marker or prior family,Functionalized / composite MOF / coordination framework,IRMOF series,high,MOF keyword/series name; bracketed complex or formula
NIST-MATDB-11589e25122956c3d1be43647ab0c433,50WT%-PEI-MIL-101(Cr),7,Solid amines,marker (PEI/TEPA/TRI-PE/mmen/dmen/amine modified),Functionalized / composite MOF / coordination framework,MIL (Materials of Institute Lavoisier),high,MOF keyword/series name
NIST-MATDB-a5f2700018fabfecc4d4d0c9b084d6a3,75WT%-PEI-MIL-101(Cr),7,Solid amines,marker (PEI/TEPA/TRI-PE/mmen/dmen/amine modified),Functionalized / composite MOF / coordination framework,MIL (Materials of Institute Lavoisier),high,MOF keyword/series name
NIST-MATDB-1828349e1f83f7d61cc57a976e0cbd28,"MIL-100(Cr), activated at 150C",4,MOFs,MOF/coordination marker or prior family,Functionalized / composite MOF / coordination framework,MIL (Materials of Institute Lavoisier),high,MOF keyword/series name
NIST-MATDB-e2edb5c894eb1f9c108ec4fd518592aa,"MIL-100(Cr), activated at 250C",4,MOFs,MOF/coordination marker or prior family,Functionalized / composite MOF / coordination framework,MIL (Materials of Institute Lavoisier),high,MOF keyword/series name
NIST-MATDB-6ec2eb5105384e6d374013695420ac86,MIL-53(Al)/GNP 10%,4,MOFs,MOF/coordination marker or prior family,Functionalized / composite MOF / coordination framework,MIL (Materials of Institute Lavoisier),high,MOF keyword/series name
NIST-MATDB-f8588d1c3c921eb65996480b08ede587,MIL-53(Al)/GNP 2.5%,4,MOFs,MOF/coordination marker or prior family,Functionalized / composite MOF / coordination framework,MIL (Materials of Institute Lavoisier),high,MOF keyword/series name
